League	Score	UserID	AgentID	Lang	Pseudo	#time=2019-09-07 11:48:52,count=714
9	30.14	2489835	1769668	C#	Akarachudra	
9	25.68	1818159	1769663	C++	JRFerguson	
9	25.66	2254195	1769673	Java	BrunoFelthes	
9	24.46	1757536	1769678	Python3	BlueGhost31	
9	24.45	1321710	1769676	Python3	Swagboy	
9	23.24	154984	1769672	C++	_Royale	
9	22.99	1082988	1770106	C++	Saelyos	
9	22.87	1487392	1769679	Kotlin	Razielwar	
9	22.85	2043908	1871159	C++	AntiSquid	
9	22.61	1629259	2238464	C#	Marchete	
9	22.61	1400179	1769665	C++	reCurse	
9	22.39	820000	1769671	C++	ValGrowth	
9	22.28	1756952	1769677	C++	Petras	
9	22.12	2006324	1779994	C++	SihardeOussama	
9	21.6	1799131	1769667	C#	LuminousJune	
9	21.39	1201796	1769664	C++	P.Greze	
9	21.24	1664044	1837708	C++	BUG	
9	21.13	1407621	1769675	C++	Taohbi	
9	21.05	1845617	1769968	C#	Shingy	
9	21	1347645	1769757	Java	Wick3d	
9	20.94	1406638	1769674	Java	[CG]Thibaud	
9	20.92	1816783	1820728	C#	NightLuna	
9	20.69	736075	1839274	C++	Xyze	
9	20.65	1806741	1769860	C#	TheDayIsMyEnemy	
9	20.35	837350	1769755	Ruby	BorisZ	
9	20.02	2474205	1770353	C#	zugzwang	
9	19.99	198916	1770378	C++	WhatTrickeryIsThis	
9	19.71	869239	1867729	C++	Vingte	
9	19.69	416762	1769753	Javascript	Khao	
9	19.59	2434893	1778390	Clojure	cdurbin	
9	19.41	533238	1771172	C#	Pr3toria	
9	19.31	1854246	1769758	C++	Counterbalance	
9	19.23	1040176	1769967	Python3	BoBot	
9	19.22	2386035	2305159	C#	Samsonov	
9	18.52	1673512	1774406	C++	Ryoken	
9	18.49	1676711	1770354	Scala	Eeeval	
9	18.38	586565	1769670	C#	Dedoo	
9	18.38	1433688	1769666	C++	Geropy	
9	18.28	1049935	1837356	Python3	Azkellas	
9	18.08	1500515	1837508	C#	eulerscheZahl	
9	18.07	1407720	1782562	Python3	bananaMixer	
9	18.04	1139056	1843622	Python3	Rohim	
9	17.99	2233676	1837509	C++	cleanrock	
9	17.98	153690	1772092	C++	Damz-Fish	
9	17.98	1305374	1769882	C#	Frankich	
9	17.97	1931824	1769964	Java	Litops	
9	17.96	880353	1774616	Python3	zasmu	
9	17.91	2288263	1972117	Java	dbdr	
9	17.88	1611699	1774959	Java	EpiFlop	
9	17.82	1855741	1770136	Kotlin	MrKIP	
9	17.78	1106450	1837780	C++	RiSuS	
9	17.73	226528	1837355	Java	Manwe	
9	17.69	1655149	1772164	Ruby	NBpowa	
9	17.66	939530	1837357	Java	Jahz	
9	17.56	1378958	1769965	C#	Illedan	
9	17.55	1479930	1774576	C++	LeRenard	
9	17.43	1764618	1774407	Pascal	ave99	
9	17.36	2470677	1820726	Java	Goujon	
9	17.29	1194069	1937688	Java	Redstrike	
9	16.99	1905581	1774728	C#	Chrisalis	
9	16.84	1480384	1781970	C++	RockyMullet	
9	16.81	1853956	1769966	PHP	Nkoyan	
9	16.73	1306541	1842763	Python3	Steuh	
9	16.19	1034635	1867728	C++	SlyB	
9	16.03	1983336	1842766	C++	Tiutens	
9	16.01	754792	1867751	C++	Ramdeath	
9	15.96	1071140	1771755	C#	BeberLeNewbie	
9	15.87	1158238	1862833	Python3	Veka	
9	15.87	351062	1837507	Java	Neumann	
9	15.78	925695	1776101	OCaml	Boulet	
9	15.66	805067	1776281	C++	Magus	
9	15.54	1944726	1820727	C++	bourgeof	
9	15.49	1895212	1862954	Python3	Maxlaxs	
9	15.33	2007852	1843620	Go	Zorg1	
9	15.21	1743344	1843186	Javascript	ush189	
9	14.84	863905	1862423	C#	tiraptor	
9	14.75	1399382	1955644	C#	Regulus136	
9	14.74	1238934	1843185	C++	accorp	
9	14.62	1855354	1955595	Python	KiwiTae	
9	14.44	1416686	1842820	C#	Avatar256	
9	14.43	1123581	1773788	Java	Luksis	
9	14.43	1386924	2119559	Javascript	Ylec	
9	14.39	1687754	1838415	Java	cg123	
9	14.19	735910	1774615	C++	Agade	
9	14.07	1279172	1842764	C++	Alphaloc	
9	13.98	2489304	1955827	Javascript	Yawp	
9	13.57	1485690	1843813	Javascript	Kikoo	
9	13.39	886483	1843633	C	R4N4R4M4	
9	13.32	1509238	1847164	Python3	Cosmo	
9	13.26	1836058	1862912	Javascript	SeebOmega	
9	13.2	1895182	1862832	Javascript	Jean_Francois_R	
9	13.16	828239	2119560	C#	[SG]Bisou	
9	12.95	1759839	1862913	Python3	matleg	
9	12.68	1314162	1862956	OCaml	Gobi03	
9	12.62	1335230	1868131	Java	jft63	
9	12.17	1480640	1862955	C#	snodes	
9	11.45	1931039	1843772	C#	MooMooN	
9	11.37	792813	1943211	Python3	VilBoub	
9	11.31	788361	1868123	C++	Bob	
9	11.26	2381596	1842821	Python3	Valnor	
9	11.22	2155687	1862879	Scala	NilsTheWizzard	
9	11.17	1898847	1842848	C	faga	
9	10.57	1304841	1842765	Java	NitMpez	
9	9.77	1481693	1837510	C++	KAIn	
8	15.02	2762653	2314759	C#	RAAAT	
8	14.39	1455753	1937561	Python3	Lysk	
8	14.01	403748	1759369	Python3	[CG]SaiksyApo	
8	12.02	2360690	1771698	Python3	Galrauch	
8	9.8	1791118	1863507	C++	Baboune251	
8	9.48	2433536	2065648	Python3	GiantPanda	
7	25.97	1464932	1768305	Java	Tiramon	
7	25.92	2490008	2067045	Python3	ebicochineal	
7	25.13	1415495	1751290	C++	fenrir	
7	24.85	2250452	1852640	Python3	Isac	
7	24.48	2370407	1762404	C++	oneup40	
7	23.89	2320186	1751209	Java	aPoStAl	
7	23.43	1411735	1751156	C++	lordaniel	
7	22.83	831726	1881785	Java	prophEt666	
7	22.51	1404941	1751184	C++	Rexou	
7	22.26	1368852	1756134	C#	RayHidayat	
7	22.19	567777	2326538	Java	GTS	
7	22.16	1643849	2410268	C++	anton_sh	
7	22.03	329200	1751161	C++	BlitzProg	
7	21.9	735487	1751223	Java	amurushkin	
7	21.69	1607395	1774993	C#	Osuran	
7	21.65	2242201	1753114	C++	Maryan	
7	21.59	841085	1751152	C#	Risen	
7	21.3	153683	1751261	Dart	40R15T3	
7	21.21	1944142	1839704	Python3	yakalir	
7	21.08	1615232	1751202	Java	Karindath	
7	20.96	1728288	1751254	C#	MOLP	
7	20.94	1607522	1751162	Go	RoboStac	
7	20.89	1695697	1871876	Python3		
7	20.7	2216956	1751246	Python3	TimDarcet	
7	20.59	2018552	2232369	C++	gurualo	
7	20.54	2051334	1751224	C++	Dwarth	
7	20.54	1443538	1751163	Java	Gevater_Tod4711	
7	20.39	1192837	1751241	Rust	davidB	
7	20.27	1854639	1751233	PHP	iDxMeG	
7	20.27	2005105	1751269	PHP	Fred51	
7	20.25	2158902	1852111	Scala	Snowbart	
7	20.19	1630890	1773965	C#	Wld	
7	20.17	1584802	1751220	OCaml	emh	
7	20.09	891351	1751200	C#	AhmedMaher	
7	19.93	844968	1791426	Python3	MoMaT	
7	19.78	1583206	1751239	C++	simspok	
7	19.66	1857772	1751218	C#	darkange69	
7	19.61	650661	1751207	Ruby	Syro	
7	19.52	1740037	1751195	Scala	ereiam	
7	19.45	1064903	1751230	Java	Ghirtor	
7	19.43	1760921	1751178	Rust	[Leonardone]-[-_-]-[NEETSDKASU]	
7	19.4	1713174	1753013	Python3	BigUP	
7	19.36	2021679	1958308	Java	Maccier	
7	19.24	881037	2067421	Java	Amadeuszx	
7	19.17	2069141	1880755	C#	tomeko	
7	19.11	1768304	1769354	Python3	Manu306	
7	18.95	1109979	2247872	Python3	Gloopy	
7	18.92	1622340	1751222	C#	VernerVinge	
7	18.88	2480827	1752159	Javascript	Timespace	
7	18.86	2477780	1754240	Javascript	GamerVSL	
7	18.84	1783604	2066853	C	Vry	
7	18.78	1572888	1837404	Python3	DirtyHarry	
7	18.75	1712706	2414523	C#	O.M.	
7	18.71	1484839	1751187	Perl	sparky	
7	18.37	808454	1778388	C#	.EagleDawn.	
7	18.34	1883153	1751174	C++	Zoidb3rg	
7	18.34	232528	1868473	C++	cegprakash	
7	18.24	1528055	1772852	C++	YannBeuc	
7	18.12	635884	1757603	Java	[1A]Zaxx	
7	18.09	568476	1751151	Java	Dje54	
7	18.06	734401	1751288	C++	b0n5a1	
7	18.01	1856237	1755882	Java	LeBaguette	
7	18	1903031	1751243	C++	hard-coded	
7	17.65	2463909	1751159	Java	ckobayashi	
7	17.51	1832461	1751573	C#	robcthegeek	
7	17.42	818780	2233719	Javascript	bbodin01	
7	17.34	1734105	1776233	Python3	Bibou	
7	17.34	972894	1751193	C++	resty-daze	
7	17.31	331880	1770191	Kotlin	Monstruo	
7	17.24	2176877	1751179	C++	pasymows	
7	17.2	2108962	1759699	Python3	DeveauP	
7	17.08	1525831	1859065	Python3	ntsd	
7	17.07	1480501	1766806	Java	DaFish	
7	17.06	2195528	1751177	C++	MrWhite	
7	17.02	1512611	1751562	Java	Essigautomat	
7	17.02	1625385	1774297	Python3	Lollypop	
7	17.01	1491995	1763911	C#	Tyir	
7	16.99	2440248	1770507	Python3	Javfres	
7	16.91	1457162	1751171	C++	JFB	
7	16.89	1734039	1771974	C++	ProfJack	
7	16.76	1894833	1751167	Python3	Rimailleur	
7	16.74	1350971	1751234	Java	Bodzio	
7	16.73	1333727	1933544	C++	mai	
7	16.72	2387233	1778630	C#	ThePrimeEvil	
7	16.72	1489865	1755238	Python	EricSMSO	
7	16.68	1792532	1944203	C#	Zanbez	
7	16.49	1333869	1752944	Python3	kiwijam	
7	16.46	512097	1935029	Haskell	Stilgart	
7	16.38	2077458	1751213	Python3	Ragi	
7	16.31	2093395	1888109	C#	VadimKuznetsov	
7	16.03	2092746	1764330	Python3	donjo	
7	15.96	2476772	1757046	C#	moson	
7	15.93	2351282	1753809	C++	TrebledJ	
7	15.9	1075260	1836341	Java	metwesse	
7	15.87	2233179	1751287	Python3	Samsa	
7	15.68	2040493	1751206	Python3	dojomouse	
7	15.67	2169137	1752945	Python3	SkippyBro	
7	15.56	2401888	1777914	Python3	RubberDuck	
7	15.55	1300254	1751208	C++	Escdemon	
7	15.5	1753077	1752943	C++	codingWhale	
7	15.48	1978863	1965133	Python3	h4o	
7	15.23	833115	1754148	PHP	VSLourenco	
7	15.21	1062509	1990097	Java	Xavier_Kress	
7	15.19	1816961	1778943	Java	pwlrfl	
7	15.17	999637	1751155	C	dinobogan	
7	15.14	1171469	1751205	Java	Reblochon	
7	14.96	2731276	2076619	Python3	panda42	
7	14.95	2093060	1767697	Python3	OursDesCavernes	
7	14.81	1751467	1754002	Java	Une_Vachette_du_31	
7	14.76	2102562	1753116	Python3	lyan	
7	14.75	1140677	1751423	C++	Crog	
7	14.74	1449433	1804754	C++	Rolf	
7	14.74	2382054	1757792	Java	jsimoes	
7	14.73	155091	1751238	Java	smeagol	
7	14.65	1606588	1751247	Python3	inoryy	
7	14.6	2006230	1765466	Python	l736x	
7	14.51	1482864	1751189	C#	Youm82	
7	14.49	2455616	1853393	Java	JeanClaude44	
7	14.49	1579627	2202260	C#	Bahrani	
7	14.47	849746	1754675	Python3	lmj	
7	14.42	2418896	1764742	C#	Zsiga	
7	14.42	880044	1841059	C#	Dalmali	
7	14.37	1811179	1774273	Java	Tetarus	
7	14.37	1880319	1751244	C++	WildSmilodon	
7	14.37	2274329	2087917	C++	mozmoz	
7	14.33	1838549	1755530	Rust	izik1	
7	14.23	1046623	1756259	Java	the_pins	
7	14.18	938374	1777049	C#	UnmanagedCode	
7	14.16	833881	1756103	C++	Xs54Ti	
7	14.14	2582643	1840663	Python3	DJrafou	
7	14.13	2125058	1774203	Javascript	natstar	
7	14.13	2003111	1756218	PHP	Krikolo	
7	14.12	1898584	1759041	C#	Natorade	
7	14.12	1920780	1754477	C++	WagnerGascho	
7	14.09	1596238	1760808	C#	NickStahl	
7	14.09	1770280	1771550	C#	Maxboyer	
7	14.08	904881	1760806	Rust	lpenz	
7	14.06	1604295	1944623	Javascript	SergeyShirokov	
7	14.04	2416641	1844575	Ruby	Zenoscave	
7	14.02	1991836	1760804	C#	qbit86	
7	13.98	1803811	1758447	C	TabascoEye	
7	13.98	1412263	1842929	PHP	PatrickMcGinnisII	
7	13.95	973040	1808797	C	papyjo	
7	13.95	2500505	1779898	Java	SuperGuiche	
7	13.91	1555572	1757793	C#	ThunderbirdOne	
7	13.9	1393074	1759897	C++	forceOfHabit	
7	13.72	1631057	1867071	Python3	Pask	
7	13.53	1504967	1757790	Java	rollin_rob	
7	13.41	1436776	1759899	C++	BrainSolver	
7	13.23	969000	1759901	Javascript	KB	
7	13.23	1502825	1802537	C++	KamronSaliev	
7	13.15	2049093	1774272	Java	Temosare	
7	13.05	1060181	1836547	Ruby	Dabou	
7	13	1487168	1760805	Bash	FatIvan	
7	12.94	1420266	1884308	Python3	Paulblaze	
7	12.88	1485989	1851521	Python3	ReActiveNZ	
7	12.66	2290633	1760809	Python3	field3	
7	12.63	1071448	1757332	C#	El_Miguelito	
7	12.44	1755656	1779018	C#	GenesisQ	
